turtle_num,date,reef_id,Community,Province,species_id, Sps identifed correctly by monitor?,Fishing method,Time,photo_num,CCL (cm),DNA_bottle_num,Use,Turtle products sold locally,Turtle products sold in Honiara,Notes
352,03.12.16,171,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 019,41.5,DNA not taken,Not recorded,,,
353,03.12.16,171,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 020,55,DNA not taken,Not recorded,,,
354,03.12.16,171,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 021,46.5,DNA not taken,Not recorded,,,
355,03.12.16,59,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 022,43,DNA not taken,Not recorded,,,
356,03.12.16,59,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 023,75,DNA not taken,Not recorded,,,
357,03.12.16,59,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 024,74,DNA not taken,Not recorded,,,
358,03.12.16,59,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 025,68,DNA not taken,Not recorded,,,
359,03.12.16,59,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 026,89,DNA not taken,Not recorded,,,
360,04.12.16,119,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 027,65,DNA not taken,Not recorded,,,
361,26.12.16,28,Kia,Isabel,Hawksbill,Yes,Net,Day,Kia 028,51,DNA not taken,Not recorded,,,
362,04.01.17,55,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 029,68,DNA not taken,Not recorded,,,
363,04.01.17,55,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 030,65.5,DNA not taken,Not recorded,,,
364,04.01.17,55,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 031,76.5,DNA not taken,Not recorded,,,
365,04.01.17,55,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 032,74.5,DNA not taken,Not recorded,,,
366,04.01.17,55,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 033,65.5,DNA not taken,Not recorded,,,
367,04.01.17,60,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 034,79,DNA not taken,Not recorded,,,
368,04.01.17,60,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 035,75,DNA not taken,Not recorded,,,
369,04.01.17,60,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 036,51,DNA not taken,Not recorded,,,
370,04.01.17,60,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 037,68,DNA not taken,Not recorded,,,
371,04.01.17,60,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 038,53.2,DNA not taken,Not recorded,,,
372,20.01.17,55,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 039,45.5,DNA not taken,Not recorded,,,
373,21.01.17,25,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 040,51,DNA not taken,Not recorded,,,
374,22.01.17,111,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 041,49.5,DNA not taken,Not recorded,,,
375,25.01.17,115,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 042,45,DNA not taken,Not recorded,,,
376,26.01.17,67,Kia,Isabel,Green,Yes,Freediving/spear,Day,Kia 043,64,DNA not taken,Not recorded,,,
377,27.01.17,175,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 044,96,DNA not taken,Not recorded,,,
378,28.01.17,80,Kia,Isabel,Green,Yes,Freediving/spear,Day,Kia 045,50.5,DNA not taken,Not recorded,,,
379,28.01.17,80,Kia,Isabel,Hawksbill,Yes,Freediving/spear,Day,Kia 046,55,DNA not taken,Not recorded,,,
380,14.02.17,172,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 047,44,DNA not taken,Not recorded,,,
381,05.03.17,56,Kia,Isabel,Green,Yes,Freediving/spear,Night,Kia 048,49.5,DNA not taken,Not recorded,,,
382,05.03.17,92,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 049,53,DNA not taken,Not recorded,,,
383,05.03.17,92,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 050,62.5,DNA not taken,Not recorded,,,
384,05.03.17,96,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 051,69,DNA not taken,Not recorded,,,
385,06.03.17,94,Kia,Isabel,Green,Yes,Freediving/spear,Night,Kia 052,56.5,DNA not taken,Not recorded,,,
386,07.03.17,115,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Day,Kia 053,59,DNA not taken,Not recorded,,,
387,07.03.17,96,Kia,Isabel,Green,Yes,Freediving/hold,Night,Kia 054,45.5,DNA not taken,Not recorded,,,
388,16.03.17,115,Kia,Isabel,Hawksbill,Yes,Freediving/spear,Night,Kia 055,59,DNA not taken,Not recorded,,,
389,16.03.17,115,Kia,Isabel,Hawksbill,Yes,Freediving/spear,Night,Kia 056,74.5,DNA not taken,Not recorded,,,
390,17.03.17,97,Kia,Isabel,Hawksbill,Yes,Freediving/hold,Night,Kia 057,55.5,DNA not taken,Not recorded,,,
391,17.03.17,56,Kia,Isabel,Green,Yes,Freediving/spear,Night,Kia 058,52,DNA not taken,Not recorded,,,
392,17.03.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 059,54,DNA not taken,Not recorded,,,
393,17.03.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 060,61.5,DNA not taken,Not recorded,,,
394,18.03.17,63,Kia,Isabel,Green,Yes,Net,Day,Kia 061,101.5,DNA not taken,Not recorded,,,
395,21.03.17,56,Kia,Isabel,Green,Yes,Freediving/hold,Night,Kia 062,43,DNA not taken,Not recorded,,,
396,21.03.17,56,Kia,Isabel,Green,Yes,Freediving/hold,NIght,Kia 063,42.5,DNA not taken,Not recorded,,,
397,24.03.17,97,Kia,Isabel,Green,Yes,Freediving/spear,Day,Kia 064,48.5,DNA not taken,Not recorded,,,
398,24.03.17,61,Kia,Isabel,Green,Yes,Freediving/spear,Day,Kia 065,59.5,DNA not taken,Not recorded,,,
399,27.03.17,116,Kia,Isabel,Hawksbill,Yes,Freediving/hook,NIght,Kia 066,61,DNA not taken,Not recorded,,,
400,27.03.17,116,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 067,82,DNA not taken,Not recorded,,,
401,27.03.17,116,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 068,95,DNA not taken,Not recorded,,,
402,28.03.17,118,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 069,43,DNA not taken,Not recorded,,,
403,28.03.17,118,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 070,47,DNA not taken,Not recorded,,,
404,28.03.17,118,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 071,45.5,DNA not taken,Not recorded,,,
405,19.04.17,141,Kia,Isabel,Green,N/A,Not recorded,Not recorded,Not taken,44.5,9077,Family Feast/birthday party,,,
406,19.04.17,141,Kia,Isabel,Green,N/A,Not recorded,Not recorded,Not taken,46.5,9358,Family Feast/birthday party,,,
407,19.04.17,141,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Day,Kia 074,56,9264,Family Feast/birthday party,,,
408,19.04.17,56,Kia,Isabel,Hawksbill,Yes,Freediving/hold,Day,Kia 075,39,9166,Food for family,,,
409,23.04.17,174,Kia,Isabel,Green,Yes,Freediving/hold,Night,Kia 076,50,9259,Food for family,,,
410,25.04.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 077,45,9143,Food for family,,,
411,25.04.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 078,94.5,9530,Food for family,,,
412,27.04.17,116,Kia,Isabel,Hawksbill,Yes,Freediving/hold,Night,Kia 079,45.5,9184,Food for family,,,
413,27.04.17,116,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 080,56,9093 (sample lost),Food for family,,,
414,27.04.17,174,Kia,Isabel,Green,Yes,Freediving/hold,Night,Kia 081,48,9279,Food for family,,,
415,27.04.17,174,Kia,Isabel,Green,Yes,Freediving/hold,Night,Kia 082,46.5,9164,Sale,Whole turtle (SBD $100),,
416,27.04.17,174,Kia,Isabel,Green,Yes,Freediving/hold,Night,Kia 083,60,9278,Food for family,,,
417,01.05.17,141,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 084,49,9381,Food for family,,,
418,03.05.17,54,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 085,75,9206,Sale,Whole turtle (SBD $300),,
419,03.05.17,54,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 086,62,9230,Food for family,,,
420,03.05.17,54,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 087,51,9400,Food for family ,,,
421,03.05.17,54,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 088,47.5,9199,Food for family,,,
422,04.05.17,73,Kia,Isabel,Green,Yes,Not recorded,Not recorded,Kia 089,44.5,9209,Food for family,,,
423,04.05.17,73,Kia,Isabel,Hawksbill,Yes,Not recorded,Not recorded,Kia 090,57.5,9062,Food for family,,,
424,04.05.17,73,Kia,Isabel,Hawksbill,Yes,Not recorded,Not recorded,Kia 091,62,9017 (sample lost),Food for family,,,
425,12.05.17,88,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 092,66,9072,sale,Meat (SBD $30 per piece),,
426,12.05.17,88,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 093,59.5,9257,sale,Meat (SBD $30 per piece),,
427,12.05.17,88,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 094,62,9110,sale,Meat (SBD $30 per piece),,
428,12.05.17,88,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 095,47,9287,sale,Meat (SBD $30 per piece),,
429,12.05.17,88,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 096,80,9367,sale,Meat (SBD $30 per piece),,
430,12.05.17,115,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 097,71.5,9531,Food for family,,,
431,12.05.17,115,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 098,79,9132,Food for family,,,Shell kept for decoration 
432,14.05.17,136,Kia,Isabel,Green,Yes,Freediving/hold,Night,Kia 099,52,9359,Food for family,,,
433,24.05.17,56,Kia,Isabel,Hawksbill,Yes,Freediving/hold,Night,Kia 100,44,9207,Food for family,,,
434,25.05.17,67,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 101,82,9308,Sale,Meat (SBD $35 per kilo),,
435,25.05.17,94,Kia,Isabel,Green,Yes,Freediving/hold,Night,Kia 102,49,DNA not taken,Sale,Meat (SBD $35 per kilo),,
436,26.05.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 103,86.5,9517,Sale,Meat (SBD $35 per kilo),,
437,26.05.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 104,87.5,9361,Sale,Meat (SBD $35 per kilo),,
438,26.05.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 105,44.5,9447,Sale,Whole turtle ,,
439,30.05.17,56,Kia,Isabel,Green,N/A,Not recorded,Not recorded,Not taken,94.5,9343,Family Feast/birthday party,,,
440,30.05.17,56,Kia,Isabel,Green,N/A,Not recorded,Not recorded,Not taken,77.5,9277,Family Feast/birthday party,,,
441,30.05.17,77,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 108,49,9142,Food for family,,,
442,30.05.17,77,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 109,47.5,9249,Food for family,,,
443,30.05.17,47,Kia,Isabel,Green,Yes,Freediving/hook,Not recorded,Kia 110,48.3,9394,Food for family,,,
444,05.06.17,84,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 111,50,DNA not taken,Food for family,,,
445,05.06.17,97,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 112,58.5,DNA not taken,Food for family,,,
446,05.06.17,126,Kia,Isabel,Green,N/A,Freediving/hook,Night,Kia 113,92,DNA not taken,Family Feast/Funeral/Cement Blessing,,,
447,07.06.17,5,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Not recorded,Kia 114,80,DNA not taken,Family Feast/Funeral/Cement Blessing,,,
448,07.06.17,126,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 115,91,DNA not taken,Food for family,,,
449,10.06.17,113,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 116,72,DNA not taken,Food for family,,,
450,11.06.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 117,76,8800,Food for family,,,
451,13.06.17,97,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 118,49.5,8801,Food for family,,,
452,13.06.17,131,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 119,69.8,8802,Family Feast/Funeral/Cement Blessing,,,
453,13.06.17,131,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 120,82,8803,Family Feast/Funeral/Cement Blessing,,,
454,13.06.17,131,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 121,91.5,8804,Family Feast/Funeral/Cement Blessing,,,
455,14.06.17,126,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 122,52,8805,Family Feast/Funeral/Cement Blessing,,,
456,14.06.17,126,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 123,78,8806,Family Feast/Funeral/Cement Blessing,,,
457,14.06.17,126,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 124,86,8807,Family Feast/Funeral/Cement Blessing,,,
458,14.06.17,126,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 125,66.5,8808,Family Feast/Funeral/Cement Blessing,,,
459,14.06.17,126,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 126,78,8809,Family Feast/Funeral/Cement Blessing,,,
460,15.06.17,131,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 127,93.5,8810,Family Feast/Funeral/Cement Blessing,,,
461,15.06.17,88,Kia,Isabel,Green,Yes,Freediving/hook,Day,Kia 128,52.5,8811,Food for family,,,
462,15.06.17,88,Kia,Isabel,Green,Yes,Freediving/hook,Day,Kia 129,49.5,8812,Food for family,,,
463,15.06.17,88,Kia,Isabel,Green,N/A,Not recorded,Not recorded,Not taken,41,8813,Food for family,,,
464,15.06.17,92,Kia,Isabel,Green,N/A,Not recorded,Not recorded,Not taken,43.5,8814,Food for family,,,
465,15.06.17,541,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,49.5,8815,Family Feast/Funeral/Cement Blessing,,,
466,15.06.17,541,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 133,74.5,8816,Family Feast/Funeral/Cement Blessing,,,
467,15.06.17,541,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 134,47.5,8817,Family Feast/Funeral/Cement Blessing,,,
468,15.06.17,541,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 135,65.5,8818,Family Feast/Funeral/Cement Blessing,,,
469,15.06.17,541,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 136,43,8819,Family Feast/Funeral/Cement Blessing,,,
470,15.06.17,541,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 137,48,8820,Family Feast/Funeral/Cement Blessing,,,
471,15.06.17,541,Kia,Isabel,Green,N/A,Freediving/hook,Night,Kia 138,88,8821,Family Feast/Funeral/Cement Blessing,,,
472,18.06.17,175,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 139,84,8826,Food for family,,,
473,18.06.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 140,44.5,8822,Food for family,,,
474,18.06.17,56,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 141,72.5,8825,Food for family,,,
475,18.06.17,175,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 142,64,8824,Food for family,,,
476,18.06.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 143,49.5,8823,Food for family,,,
477,19.06.17,113,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 144,85,8827,Family Feast/Funeral/Cement Blessing,,,
478,21.06.17,69,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 145,75.5,8828,Family Feast/Funeral/Cement Blessing,,,
479,21.06.17,69,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 146,64,8829,Family Feast/Funeral/Cement Blessing,,,
480,21.06.17,69,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 147,50.5,8830,Family Feast/Funeral/Cement Blessing,,,
481,21.06.17,69,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 148,57.5,8831,Family Feast/Funeral/Cement Blessing,,,
482,22.06.18,175,Kia,Isabel,Green,N/A,Freediving/hook,Night,Kia 149,91,8832,Family Feast/Funeral/Cement Blessing,,,
483,22.06.18,48,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 150,67.5,8833,Family Feast/Funeral/Cement Blessing,,,
484,22.06.18,48,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 151,51,8834,Family Feast/Funeral/Cement Blessing,,,
485,22.06.18,48,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 152,85,8835,Family Feast/Funeral/Cement Blessing,,,
486,22.06.18,104,Kia,Isabel,Green,Yes,Freediving/hook,Day,Kia 153,98,8836,Family Feast/Funeral/Cement Blessing,,,
487,23.06.17,56,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,72.5,8837,Family Feast/Funeral/Cement Blessing,,,
488,23.06.17,56,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,50,8838,Family Feast/Funeral/Cement Blessing,,,
489,25.06.17,43,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,50,8839,Family Feast/Funeral/Cement Blessing,,,
490,26.06.17,116,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 157,72,8840,Family Feast/Funeral/Cement Blessing,,,
491,26.06.17,54,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 158,67,8841,Family Feast/Funeral/Cement Blessing,,,
492,26.06.17,115,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 159,65,8842,Family Feast/Funeral/Cement Blessing,,,
493,26.06.17,113,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 160,75,8843,Family Feast/Funeral/Cement Blessing,,,
494,26.06.17,118,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 161,52,8844,Food for family,,,
495,26.06.17,170,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 162,55,8845 (sample lost),Food for family,,,
496,26.06.17,35,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,51.5,8846,Family Feast/Funeral/Cement Blessing,,,
497,26.06.17,69,Kia,Isabel,Hawksbill,N/A,Freediving/hook,Night,Not taken,77.5,8847,Family Feast/Funeral/Cement Blessing,,,
498,26.06.17,104,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,46,8848,Family Feast/Funeral/Cement Blessing,,,
499,26.06.17,104,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,98.5,8849,Family Feast/Funeral/Cement Blessing,,,
500,01.07.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 167,68.2,8850,Family Feast/Funeral/Cement Blessing,,,
501,01.07.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 168,66,8851,Family Feast/Funeral/Cement Blessing,,,
502,01.07.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 169,50,8852,Family Feast/Funeral/Cement Blessing,,,
503,01.07.17,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 170,47,8853,Family Feast/Funeral/Cement Blessing,,,
504,03.07.17,48,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 171,78.5,8854,Family Feast/Funeral/Cement Blessing,,,
505,03.07.17,48,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 172,85.5,8855,Family Feast/Funeral/Cement Blessing,,,
506,05.07.17,5,Kia,Isabel,Green,N/A,Freediving/hook,Night,Kia 173,55,8856,Family Feast/Funeral/Cement Blessing,,,
507,05.07.17,5,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 174,55.5,8857,Family Feast/Funeral/Cement Blessing,,,
508,05.07.17,5,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 175,73,8858,Family Feast/Funeral/Cement Blessing,,,
509,05.07.17,5,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 176,78.5,8859,Family Feast/Funeral/Cement Blessing,,,
510,05.07.17,5,Kia,Isabel,Green,N/A,Freediving/hook,Night,Kia 177,81,8860,Family Feast/Funeral/Cement Blessing,,,
511,05.07.17,5,Kia,Isabel,Green,N/A,Freediving/hook,Night,Kia 178,89.5,8861,Family Feast/Funeral/Cement Blessing,,,
512,06.07.17,54,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 179,75.5,8862,Family Feast/Funeral/Cement Blessing,,,
513,06.07.17,54,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 180,83,8863,Family Feast/Funeral/Cement Blessing,,,
514,06.07.17,113,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 181,80,8864,Family Feast/Funeral/Cement Blessing,,,
515,06.07.17,113,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 182,82.5,8865,Family Feast/Funeral/Cement Blessing,,,
516,18.07.17,73,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,102.5,8900,Family Feast/wedding,,,
517,18.07.17,73,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,94,8901,Family Feast/wedding,,,
518,18.07.17,73,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,67.5,8902,Family Feast/wedding,,,
519,18.07.17,73,Kia,Isabel,Hawksbill,N/A,Freediving/hook,Night,Not taken,79,8903,Family Feast/wedding & Sale,,Shell will be sold in Honiara to exporter (SBD $500 kg),
520,18.07.17,141,Kia,Isabel,Green,N/A,Freediving/hook,Not recorded,Not taken,86,8904,Food for family,,,
521,18.07.17,65,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,46,8905,Food for family,,,
522,19.07.17,175,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,49.5,8906,Food for family,,,
523,28.07.17,104,Kia,Isabel,Hawksbill,N/A,Freediving/hook,Night,Not taken,79.3,8907,Food for family/Sale,,Shell will be sold in Honiara to exporter (SBD $500 kg),
524,28.07.17,104,Kia,Isabel,Hawksbill,N/A,Freediving/hook,Night,Not taken,78,8908,Food for family/Sale,,Shell will be sold in Honiara to exporter (SBD $500 kg),
525,28.07.17,104,Kia,Isabel,Hawksbill,N/A,Freediving/hook,Night,Not taken,74,8909,Food for family/Sale,,Shell will be sold in Honiara to exporter (SBD $500 kg),
526,28.07.17,104,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,54,8910,Food for family,,,
527,28.07.17,167,Kia,Isabel,Hawksbill,N/A,Freediving/hook,Night,Not taken,67.5,8911,Food for family/Sale,,Shell will be sold in Honiara to exporter (SBD $500 kg),
528,03.08.17,83,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,81,8912,Food for family,,,
529,03.08.17,85,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,45,8913,Food for family,,,
530,03.08.17,85,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,85.6,8914,Food for family,,,
531,11.08.17,60,Kia,Isabel,Green,N/A,Freediving/hook,Not recorded,Not taken,75.5,8915,Food for family,,,
532,11.08.17,60,Kia,Isabel,Green,N/A,Freediving/hook,Not recorded,Not taken,70,8916,Food for family,,,
533,11.08.17,175,Kia,Isabel,Hawksbill,N/A,Not recorded ,Not recorded,Not taken,46,8917,Food for family,,,Shell kept for decoration 
534,15.08.17,107,Kia,Isabel,Green,N/A,Freediving/hook,Night,Not taken,55,8918,Food for family,,,
535,16.08.17,115,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 202,81.5,8919,Food for family,,,
536,16.08.17,115,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 203,86,8920,Food for family,,,Keep shell and make turtle shell artifacts
537,16.08.17,115,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 204,85,8921,Food for family,,,
538,17.08.17,65,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 205,43.5,8922,Food for family,,,Shell kept for decoration 
539,19.08.17,116,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 206,50,8923,Food for family,,,
540,19.08.17,54,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 207,83.5,8924,Food for family,,,
541,22.08.17,60,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 208,84,8925,Food for family/Sale,,Shell will be sold in Honiara to exporter (SBD $500 kg),
542,22.08.17,60,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 209,79,8926,Food for family,,,
543,22.08.17,60,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 210,45,8927 (sample lost),Food for family,,,
544,23.08.17,60,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 211,70,8928,Food for family,,,
545,23.08.17,59,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 212,81,8929,Food for family,,,
546,23.08.17,59,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 213,83,8930,Food for family,,,
547,26.08.17,172,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 214,58,8931,Food for family,,,
548,28.08.17,56,Kia,Isabel,Green,Yes,Not recorded,Night,Kia 215,50,8932,Food for family,,,
549,29.08.17,60,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 216,85,8933,Food for family,,,
550,29.08.17,60,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 217,60,8934,Food for family,,,Shell kept for decoration 
551,31.08.17,167,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 218,59.5,8935,Food for family,,,
552,31.08.17,96,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 219,56,8936,Food for family,,,Shell kept for decoration 
553,03.09.17,141,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 220,70,8937,Food for family,,,
554,11.09.17,89,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 221,47,8938,Community Feast/Church ,,,
555,11.09.17,89,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 222,54.5,8939,Community Feast/Church ,,,
556,11.09.17,167,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 223,54.5,8940,Community Feast/Church ,,,
557,11.09.17,167,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 224,50,8941,Community Feast/Church ,,,Shell kept for decoration 
558,11.09.17,167,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 225,48.5,8942,Community Feast/Church ,,,Shell kept for decoration 
559,11.09.17,167,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 226,57,8943,Community Feast/Church ,,,
560,11.09.17,167,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 227,58,8944,Community Feast/Church ,,,
561,11.9.17,98,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 228,45.5,8945,Community Feast/Church ,,,
562,12.09.17,85,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 229,96.5,8946,Community Feast/Church ,,,
563,12.09.17,96,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 230,80,8947,Community Feast/Church ,,,
564,13.09.17,113,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 231,45,8948,Food for family,,,Shell kept for decoration 
