turtle_num,date,reef_id,Community,Province,species_id, Sps identifed correctly by monitor?,Fishing method,Time,photo_num,CCL (cm),DNA_bottle_num,Use,Turtle products sold locally,Turtle products sold in Honiara,Notes
218,06.09.17,476,Wagina,Choiseul,Hawksbill,No,Freediving,Night,Wagina 218,87,DNA not taken,Sale,Meat and blood (SBD $5 per cup),Shell will be sold in Honiara to exporter,
219,06.09.17,476,Wagina,Choiseul,Green,N/A,Freediving,Night,Wagina 219,49.5,DNA not taken,Food for family,,,
220,06.09.17,504,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 220,65.3,DNA not taken,Sale,Meat and blood (SBD $5 per cup),Shell will be sold in Honiara to exporter,
221,19.09.17,540,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 221,51.4,DNA not taken,Food for family/Sale,,Shell will be sold in Honiara to exporter,
222,23.09.17,294,Wagina,Choiseul,Hawksbill,N/A,Freediving,Night,Wagina 222,60.1,DNA not taken,Food for family/Sale,,Shell will be sold in Honiara to exporter,
223,23.09.17,307,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 223,63,DNA not taken,Food for family/Sale,,Shell will be sold in Honiara to exporter,
224,29.09.17,500,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 224,42.5,DNA not taken,Food for family,,,
225,14.10.17,500,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 225,50.3,DNA not taken,Food for family,,,
226,14.10.17,500,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 226,49,DNA not taken,Food for family,,,
227,16.10.17,294,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 227,47.6,DNA not taken,Food for family/Sale,,Shell will be sold in Honiara to exporter,
228,16.10.17,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 228,63.1,DNA not taken,Food for family,,,
229,16.10.17,501,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,Not recorded,DNA not taken,Food for family,,,Did not record CCL as had been butchered and dogs took shell
230,17.10.17,540,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 230,45,DNA not taken,Food for family,,,
231,17.10.17,319,Wagina,Choiseul,Hawksbill,Yes,Rodeo,Day,Wagina 231,73.5,DNA not taken,Food for family/Sale,,Shell will be sold in Honiara to exporter,
232,17.10.17,319,Wagina,Choiseul,Green,Yes,Rodeo,Day,Wagina 232,73,DNA not taken,Food for family,,,
233,17.10.17,319,Wagina,Choiseul,Green,Yes,Rodeo,Day,Wagina 233,65,DNA not taken,Food for family,,,
234,20.10.17,500,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 234,58,DNA not taken,Food for family,,,
235,21.10.17,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 235,52.2,DNA not taken,Food for family,,,
236,21.10.17,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 236,50.5,DNA not taken,Food for family,,,
237,21.10.17,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 237,56,DNA not taken,Food for family,,,
238,22.10.17,501,Wagina,Choiseul,Hawksbill,No,Freediving,Night,Wagina 238,49.6,DNA not taken,Food for family,,,
239,22.10.17,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 239,43.3,DNA not taken,Food for family,,,
240,23.10.17,501,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 240,51.2,DNA not taken,Food for family/Sale,,Shell will be sold in Honiara to exporter,
241,25.10.17,319,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 241,48.5,DNA not taken,Food for family,,,
242,29.10.17,294,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 242,56,QPWSN87446,Sale,Meat and blood (SBD $5 per cup),Shell will be sold in Honiara to exporter,
243,29.10.17,294,Wagina,Choiseul,Hawksbill,Yes,Captured while nesting,Night,Wagina 243,85,QPWSN87421,Sale,Meat and blood (SBD $5 per cup),Shell will be sold in Honiara to exporter,
244,29.10.17,294,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 244,63,QPWSN87430,Food for family,,,
245,14.11.17,294,Wagina,Choiseul,Green,Yes,Captured while nesting,Night,Wagina 245,81.4,QPWSN87413,Food for family,,,
246,17.11.17,476,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 246,83.2,QPWSN87427,Food for family ,,,
247,17.11.17,476,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 247,73,QPWSN87423,Food for family/Sale,,Shell will be sold in Honiara to exporter,
248,17.11.17,476,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 248,98.5,QPWSN87401,Food for family ,,,
249,29.11.17,484,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 249,63,QPWSN87424,Family Feast/birthday party & Sale,,Shell will be sold in Honiara to exporter (SBD $500-600 kg),
250,29.11.17,484,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 250,74.5,QPWSN87441,Family Feast/birthday party,,,
