Community,Province,Day,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18
Buala,Isabel,27,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,28,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,29,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,30,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Buala,Isabel,31,,,,,,,,,,,,Not Available,Not Available,Not Available,Not Available
Taro,Choiseul ,1,,,,Not Available,,,Not Available,,,Not Available,Not Available,,,,
Taro,Choiseul ,2,,,,Not Available,,,Not Available,,,Not Available,Not Available,,,,
Taro,Choiseul ,3,,,,Not Available,,Not Available,,,,Not Available,Not Available,,,,
Taro,Choiseul ,4,,,,Not Available,,Not Available,,,,Not Available,Not Available,,,,
Taro,Choiseul ,5,,,,Not Available,,Not Available,,Not Available,,Not Available,Not Available,,,,
Taro,Choiseul ,6,,,,Not Available,,Not Available,,Not Available,,Not Available,Not Available,,,,
Taro,Choiseul ,7,,,,Not Available,,Not Available,,Not Available,,Not Available,Not Available,,,,
Taro,Choiseul ,8,,,,Not Available,,Not Available,Not Available,Not Available,,Not Available,Not Available,,,,
Taro,Choiseul ,9,,,,Not Available,,Not Available,,Not Available,,Not Available,Not Available,,,,
Taro,Choiseul ,10,,,,,,Not Available,,,,Not Available,Not Available,,,,
Taro,Choiseul ,11,,,,,,Not Available,,,,Not Available,Not Available,,,,
Taro,Choiseul ,12,,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,13,Not Available,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,14,Not Available,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,15,,,Not Available,,,,Not Available,,,Not Available,Not Available,,,,
Taro,Choiseul ,16,,,Not Available,,Not Available,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,17,,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,18,,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,19,,,Not Available,,,,,Not Available,,Not Available,Not Available,,,,
Taro,Choiseul ,20,,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,21,,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,22,,,Not Available,,,,Not Available,,,Not Available,Not Available,,Not Available,,
Taro,Choiseul ,23,,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,24,,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,25,,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,26,,,Not Available,,,,,Not Available,,Not Available,Not Available,,,,
Taro,Choiseul ,27,,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,28,,,Not Available,,,,,,,Not Available,Not Available,,,,
Taro,Choiseul ,29,,,Not Available,,,,Not Available,,,Not Available,,,,,
Taro,Choiseul ,30,,,Not Available,,Not Available,,,,,Not Available,,,,,
Taro,Choiseul ,31,,,,,,,,,,Not Available,,,,,
Kaonasugu,Makira,1,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,2,,,,,,,,,,,Not Available,,Not Available,,
Kaonasugu,Makira,3,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,4,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,5,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,6,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,7,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,8,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,9,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,10,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,11,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,12,,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,13,Not Available,,,,,,,,,,Not Available,,,,
Kaonasugu,Makira,14,Not Available,,,,,,,,,,Not Available,,,,
